user_label,gesture_label,sample_id,points_count,width_bbox,height_bbox,aspect_ratio,net_distance,mean_pressure,max_pressure,mean_finger_w,mean_finger_h
01,01,01,16,95.18,111.38,1.170203824332843,146.508487126173,0.0126875,0.024,0.02275,0.0309375
01,01,02,5,104.45999999999998,113.47000000000004,1.0862531112387523,154.2314251376807,0.0098,0.028,0.022200000000000004,0.0366
01,01,03,9,98.07,104.16000000000004,1.0620985010706643,143.06302981553273,0.006555555555555556,0.02,0.02288888888888889,0.03422222222222223
01,01,04,13,100.74,102.5,1.0174707166964463,143.71777064789168,0.011384615384615385,0.019,0.024692307692307697,0.030846153846153856
01,01,05,15,107.65000000000003,118.69,1.1025545750116112,160.2368203628617,0.016133333333333336,0.029,0.024600000000000007,0.03380000000000001
01,01,06,15,107.65000000000003,118.69,1.1025545750116112,160.2368203628617,0.016133333333333336,0.029,0.024600000000000007,0.03380000000000001
01,01,07,15,104.01,366.78,3.5263916931064316,366.9053508740367,0.0158,0.032,0.02673333333333334,0.040333333333333346
01,01,08,9,107.64999999999998,115.97999999999996,1.077380399442638,158.23995355156038,0.017777777777777778,0.033,0.024,0.03788888888888889
01,01,09,9,99.96000000000004,117.14,1.1718687474989993,153.99279593539435,0.012555555555555556,0.028,0.023666666666666666,0.03366666666666667
01,01,10,9,88.25,100.44,1.1381303116147308,133.70211703634314,0.02366666666666667,0.036,0.02766666666666667,0.04355555555555555
01,01,11,8,89.63999999999999,87.04999999999995,0.9711066488174919,124.95211922972732,0.010499999999999999,0.024,0.02425,0.034875
01,01,12,9,88.86000000000001,90.65999999999995,1.020256583389601,126.94619017520768,0.017333333333333336,0.028,0.02722222222222222,0.041
01,01,13,12,121.77000000000004,101.64000000000004,0.8346883468834689,158.61469824704147,0.014916666666666663,0.023,0.025083333333333336,0.03908333333333334
01,01,14,4,114.73000000000002,100.87,0.8791946308724832,152.76691330258657,0.00675,0.027,0.020999999999999998,0.0355
01,01,15,5,119.79000000000002,89.26000000000005,0.7451373236497206,149.3887268169858,0.0092,0.025,0.020800000000000003,0.0314
01,01,16,15,108.35000000000002,95.39,0.8803876326718965,144.35710789566272,0.012733333333333331,0.019,0.02293333333333334,0.03246666666666667
01,02,01,13,117.11999999999998,81.81,0.6985143442622952,142.8634680385437,0.01307692307692308,0.021,0.026384615384615392,0.03484615384615385
01,02,02,12,147.69,88.53000000000003,0.5994312411131426,172.19145449179527,0.02075,0.029,0.02783333333333334,0.04083333333333334
01,02,03,13,145.46,91.82,0.6312388285439295,172.01605739000067,0.01853846153846154,0.033,0.028384615384615394,0.0396923076923077
01,02,04,12,136.99,94.56,0.6902693627272063,166.45676225374567,0.019999999999999997,0.032,0.02641666666666667,0.038000000000000006
